epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1440.52,0.41284,1.25462,1.04298,0.37403,0.5375,0.52962,0.51974,0.24884,1.38653,0.40512,0.000494885,0.000494885,0.000494885
43,1476.17,0.40202,1.25299,1.03932,0.42821,0.63267,0.52416,0.4988,0.32007,1.17349,0.4327,0.000486639,0.000486639,0.000486639
44,1510.99,0.39645,1.2619,1.03708,0.41039,0.68996,0.59556,0.58253,0.30496,1.14537,0.4292,0.000478392,0.000478392,0.000478392
45,1551.88,0.39674,1.26688,1.02978,0.40654,0.62227,0.51843,0.50285,0.26709,1.29967,0.39027,0.000470145,0.000470145,0.000470145
46,1607.73,0.38167,1.25462,1.02948,0.53344,0.5125,0.58611,0.57726,0.19692,1.2116,0.34215,0.000461898,0.000461898,0.000461898
47,1641.96,0.3944,1.23619,1.04134,0.38764,0.69508,0.57229,0.56561,0.2288,1.16958,0.38699,0.000453652,0.000453652,0.000453652
48,1676.65,0.39229,1.20821,1.03093,0.51536,0.53436,0.54319,0.53816,0.24105,1.24154,0.38487,0.000445405,0.000445405,0.000445405
49,1711.87,0.37947,1.22589,1.02959,0.38431,0.75,0.52417,0.52151,0.21422,1.43488,0.40226,0.000437158,0.000437158,0.000437158
50,1746.45,0.37816,1.19849,1.02151,0.32908,0.73527,0.48453,0.4813,0.19889,1.25403,0.34507,0.000428912,0.000428912,0.000428912
51,1781.43,0.37688,1.22543,1.01773,0.37527,0.56617,0.51857,0.51545,0.21727,1.45472,0.34083,0.000420665,0.000420665,0.000420665
52,1816.3,0.37661,1.22314,1.02459,0.44269,0.58616,0.58332,0.57596,0.24129,1.19714,0.39554,0.000412418,0.000412418,0.000412418
53,1851.03,0.39717,1.2064,1.04043,0.45278,0.68625,0.5517,0.53693,0.27121,1.26132,0.40715,0.000404172,0.000404172,0.000404172
54,1886.19,0.37511,1.18558,1.01642,0.40599,0.59949,0.53567,0.51032,0.31742,1.25952,0.4789,0.000395925,0.000395925,0.000395925
55,1920.57,0.36091,1.16772,1.01294,0.41337,0.66956,0.55848,0.54333,0.28182,1.22649,0.44022,0.000387678,0.000387678,0.000387678
56,1955.41,0.37535,1.17589,1.02781,0.49793,0.58232,0.58783,0.58595,0.18415,1.1879,0.34443,0.000379431,0.000379431,0.000379431
57,1991.51,0.36682,1.18201,1.01579,0.48995,0.60113,0.57651,0.57312,0.20419,1.14463,0.32387,0.000371185,0.000371185,0.000371185
58,2027.1,0.36326,1.16462,1.01442,0.50374,0.56144,0.56239,0.55219,0.22968,1.26239,0.34898,0.000362938,0.000362938,0.000362938
59,2062.32,0.35262,1.12942,1.01972,0.4287,0.68019,0.56929,0.55147,0.28469,1.1888,0.40337,0.000354691,0.000354691,0.000354691
60,2096.69,0.35912,1.14573,1.01865,0.4064,0.80085,0.58699,0.57828,0.24123,1.13236,0.38077,0.000346445,0.000346445,0.000346445
61,2130.22,0.3492,1.14063,1.00659,0.43998,0.68466,0.61374,0.60616,0.2141,1.23599,0.35756,0.000338198,0.000338198,0.000338198
62,2165.15,0.35654,1.07424,1.01554,0.4125,0.58882,0.54935,0.54622,0.21052,1.22755,0.34823,0.000329951,0.000329951,0.000329951
63,2199.14,0.34759,1.09413,1.00472,0.52785,0.53645,0.58964,0.58657,0.19914,1.16614,0.32234,0.000321705,0.000321705,0.000321705
64,2228.36,0.35092,1.10453,1.00979,0.45458,0.75298,0.60922,0.60125,0.20549,1.16659,0.35578,0.000313458,0.000313458,0.000313458
65,2262.84,0.35174,1.10471,1.01556,0.47077,0.7075,0.60674,0.59697,0.21451,1.19072,0.34566,0.000305211,0.000305211,0.000305211
