epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3402,1.68964,2.66196,2.32661,0.00333,1,0.49191,0.20496,1.63202,3.57677,3.92105,0.00012,0.00012,0.00012
2,123.047,1.42218,2.13907,1.96271,0.00333,1,0.82992,0.55787,0.82291,3.19474,2.07869,0.000254852,0.000254852,0.000254852
3,175.323,1.05683,1.51261,1.58771,0.00333,1,0.995,0.77262,0.64745,3.06122,1.32933,0.00038416,0.00038416,0.00038416
4,226.938,0.8813,1.23592,1.40357,0.00333,1,0.9575,0.84744,0.56824,2.98199,1.06783,0.000507924,0.000507924,0.000507924
5,278.621,0.80624,1.1558,1.34459,1,0.84703,0.995,0.80701,0.75614,2.68361,1.00995,0.000626144,0.000626144,0.000626144
6,330.67,0.84109,1.06249,1.29255,0.99446,1,0.995,0.71507,1.12153,2.66032,1.58088,0.00073882,0.00073882,0.00073882
7,382.579,0.83176,0.91792,1.34125,0.04774,0.1,0.01709,0.00399,3.22417,7.90588,3.18068,0.000845952,0.000845952,0.000845952
8,434.811,0.90577,1.00821,1.38631,0.4023,0.4,0.39213,0.13677,1.41876,3.66481,1.63972,0.00094754,0.00094754,0.00094754
9,485.317,0.8996,0.99035,1.38675,0.18306,0.7,0.17372,0.11575,0.79428,3.03241,1.06095,0.00104358,0.00104358,0.00104358
10,535.179,0.86589,0.96183,1.35019,0.98697,1,0.995,0.85386,0.74616,1.7304,1.06418,0.00113408,0.00113408,0.00113408
11,587.259,0.78913,0.87753,1.29549,0.42356,0.88247,0.46446,0.36554,0.77612,2.56636,1.37921,0.00121904,0.00121904,0.00121904
12,637.257,0.84877,0.90029,1.35284,0.74591,0.88201,0.88056,0.55723,0.79998,2.16079,1.07533,0.00129845,0.00129845,0.00129845
13,687.112,0.81096,0.83348,1.27789,0.88012,1,0.95864,0.72366,0.90179,1.95478,1.22199,0.00137232,0.00137232,0.00137232
14,736.982,0.77322,0.79262,1.28555,0.47468,0.36455,0.31954,0.06546,1.35884,4.03829,1.56074,0.00144064,0.00144064,0.00144064
15,786.985,0.94172,0.91278,1.42639,1,0.66662,0.84735,0.67226,0.88528,2.17013,1.34448,0.0014456,0.0014456,0.0014456
16,836.739,0.79759,0.7879,1.29041,0.9403,0.9,0.97833,0.65661,0.7851,1.7742,1.02957,0.001406,0.001406,0.001406
17,887.005,0.75595,0.79117,1.26547,0.91081,0.9,0.97833,0.72073,0.66686,1.52652,0.87907,0.0013664,0.0013664,0.0013664
18,937.601,0.78155,0.77222,1.27392,0.76714,1,0.95192,0.52438,0.61133,1.82322,0.84737,0.0013268,0.0013268,0.0013268
19,987.489,0.76457,0.75579,1.26688,0.92422,1,0.995,0.61257,0.66554,1.61007,0.89981,0.0012872,0.0012872,0.0012872
20,1038.42,0.71877,0.70701,1.23557,0.88105,1,0.98591,0.65537,0.66718,1.4549,0.87127,0.0012476,0.0012476,0.0012476
