Model,mAP50,mAP50-95,Precision,Recall,Accuracy
yolov8n,0.6075379361285203,0.5938148923910823,0.5093412495752345,0.6521107096344307,0.5066666666666667
yolov8s,0.6503567782882477,0.6358382919368221,0.5498172289929576,0.6344919092900421,0.6329113924050633
yolov8m,0.6638970120446177,0.6607706698103476,0.5630614525025196,0.647163981824483,0.5822784810126582
