epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6193,1.83442,1.57441,1.80947,0.75864,1,0.94263,0.68369,1.19529,1.29757,1.40813,0.00048,0.00048,0.00048
2,79.2143,1.27944,1.3038,1.36189,0.8018,1,0.97833,0.56219,1.25457,2.72811,0.88312,0.00091532,0.00091532,0.00091532
3,117.035,1.12456,1.05868,1.21808,0.82624,1,0.93944,0.64042,1.28476,1.94339,1.00318,0.00128464,0.00128464,0.00128464
4,154.691,1.3842,1.14187,1.35054,0.88442,1,0.95864,0.48256,1.39715,2.87003,0.94154,0.00158796,0.00158796,0.00158796
5,191.836,1.19711,1.13448,1.24546,0.57415,1,0.8092,0.55445,0.98824,2.7432,0.66842,0.001472,0.001472,0.001472
6,229.539,1.0722,1.25194,1.3182,0.15662,0.9289,0.18306,0.12838,0.99099,4.79819,0.61813,0.00134,0.00134,0.00134
