epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,785.126,0.39442,1.13146,1.02994,0.37749,0.79546,0.53125,0.52459,0.24385,1.42716,0.38526,0.000494885,0.000494885,0.000494885
43,804.456,0.39379,1.14693,1.03233,0.44778,0.61369,0.54769,0.53091,0.28613,1.28606,0.4176,0.000486639,0.000486639,0.000486639
44,822.533,0.38799,1.16364,1.02922,0.48793,0.6,0.58446,0.56696,0.31006,1.26038,0.45362,0.000478392,0.000478392,0.000478392
45,841.754,0.38758,1.1603,1.02214,0.51657,0.6085,0.5334,0.51286,0.30694,1.45342,0.47274,0.000470145,0.000470145,0.000470145
46,859.993,0.37121,1.12289,1.02307,0.42146,0.65162,0.53903,0.53018,0.26575,1.40948,0.39261,0.000461898,0.000461898,0.000461898
47,878.804,0.38168,1.10298,1.02938,0.50466,0.5424,0.57994,0.55922,0.29415,1.25973,0.42212,0.000453652,0.000453652,0.000453652
48,897.756,0.37817,1.08651,1.01933,0.39475,0.64881,0.55228,0.5349,0.28507,1.29521,0.42911,0.000445405,0.000445405,0.000445405
49,915.688,0.37664,1.114,1.02297,0.47098,0.64459,0.54948,0.51135,0.39951,1.28205,0.52736,0.000437158,0.000437158,0.000437158
50,934.844,0.37473,1.07259,1.01458,0.5154,0.61096,0.56985,0.56489,0.24205,1.29457,0.38426,0.000428912,0.000428912,0.000428912
51,953.065,0.37654,1.09323,1.0165,0.41316,0.66213,0.54265,0.51168,0.3699,1.40181,0.5048,0.000420665,0.000420665,0.000420665
52,972.414,0.36365,1.0803,1.0161,0.55276,0.52358,0.59121,0.58031,0.28568,1.25888,0.44618,0.000412418,0.000412418,0.000412418
53,990.581,0.37944,1.06522,1.02714,0.39554,0.77399,0.52469,0.51477,0.27689,1.39038,0.40007,0.000404172,0.000404172,0.000404172
54,1008.64,0.36342,1.05969,1.00616,0.53163,0.62979,0.5718,0.55985,0.26591,1.28386,0.39471,0.000395925,0.000395925,0.000395925
55,1027.08,0.36473,1.0249,1.01062,0.47911,0.6375,0.56647,0.55645,0.24165,1.27334,0.40666,0.000387678,0.000387678,0.000387678
56,1045.64,0.35746,1.01221,1.01764,0.44885,0.70393,0.57737,0.56463,0.28483,1.34722,0.42412,0.000379431,0.000379431,0.000379431
