epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3032,1.68964,2.66196,2.32661,0.00333,1,0.49191,0.20496,1.63202,3.57677,3.92105,0.00012,0.00012,0.00012
2,108.431,1.4285,2.14872,1.9674,0.00333,1,0.81081,0.53156,0.80689,3.23334,2.11811,0.00024713,0.00024713,0.00024713
3,159.377,1.04454,1.55319,1.593,0.00333,1,0.995,0.80427,0.54393,3.04482,1.23074,0.0003604,0.0003604,0.0003604
4,210.239,0.90014,1.21891,1.41155,0.00333,1,0.995,0.91029,0.44263,2.92002,0.88668,0.00045981,0.00045981,0.00045981
5,261.444,0.81183,1.1739,1.35492,0.95928,1,0.995,0.83027,0.76426,2.57546,1.08035,0.00054536,0.00054536,0.00054536
6,312.477,0.8327,1.05381,1.27673,1,0.93276,0.995,0.76526,0.7141,2.55719,0.91352,0.00061705,0.00061705,0.00061705
7,363.336,0.77317,0.93819,1.30571,0.83095,0.9,0.96833,0.41201,1.69793,2.66012,2.58852,0.00067488,0.00067488,0.00067488
8,414.771,0.8646,0.99926,1.37277,0.99234,1,0.995,0.85195,0.55051,1.92156,0.69962,0.00071885,0.00071885,0.00071885
9,465.71,0.85819,0.99575,1.35031,0.99656,1,0.995,0.84306,0.61273,1.61767,0.82684,0.00074896,0.00074896,0.00074896
10,516.46,0.84462,0.98963,1.34072,1,0.99788,0.995,0.88309,0.56221,1.57,0.79072,0.00076521,0.00076521,0.00076521
11,566.699,0.73102,1.39031,1.48351,0.9955,1,0.995,0.88506,0.69048,1.85366,0.93102,0.0007676,0.0007676,0.0007676
12,616.716,0.71584,1.25471,1.55324,0.99421,1,0.995,0.97702,0.29897,1.3595,0.40235,0.00075613,0.00075613,0.00075613
13,666.665,0.71915,1.21372,1.52555,0.99347,1,0.995,0.94254,0.36763,1.31598,0.45937,0.0007308,0.0007308,0.0007308
14,716.89,0.58148,1.13122,1.37672,0.99464,1,0.995,0.91335,0.46139,1.25066,0.5205,0.00069161,0.00069161,0.00069161
15,767.221,0.56156,1.0336,1.32192,0.99275,1,0.995,0.9004,0.41955,1.16959,0.51227,0.000614,0.000614,0.000614
16,817.537,0.63251,1.04061,1.43914,0.99388,1,0.995,0.93979,0.32005,1.1202,0.37668,0.000515,0.000515,0.000515
17,867.673,0.55323,0.98799,1.3162,0.99499,1,0.995,0.97902,0.27391,1.01249,0.33405,0.000416,0.000416,0.000416
18,917.933,0.49466,0.96536,1.22198,0.99496,1,0.995,0.98002,0.24617,0.91478,0.32832,0.000317,0.000317,0.000317
19,968.243,0.51787,0.95736,1.32417,0.9952,1,0.995,0.995,0.20694,0.92277,0.31491,0.000218,0.000218,0.000218
20,1018.23,0.52848,0.92507,1.33607,0.99522,1,0.995,0.995,0.18118,0.88614,0.31293,0.000119,0.000119,0.000119
